{LG}	spn
坐	tsʰ ɔː˨˧
坐	ts ɔː˨
坑	h aː˥ ŋ
坡	p ɔː˥
坦	tʰ aː˨˥ n
坪	pʰ ɪ˨˩ ŋ
垃	l aː˨ p̚
型	j ɪ˨˩ ŋ
埃	ɔːj˥
埋	m aːj˨˩
城	s ɛː˨˩ ŋ
城	s ɪ˨˩ ŋ
埔	p ow˧
埗	p ow˨˥
埗	p ow˨
域	w ɪ˨ k̚
埠	f ɐw˨
執	ts ɐ˥ p̚
培	pʰ uːj˨˩
基	k ej˥
堂	tʰ ɔː˨˥ ŋ
堂	tʰ ɔː˨˩ ŋ
堅	k iː˥ n
堆	t ɵɥ˥
堡	p ow˨˥
報	p ow˧
場	tsʰ œː˨˩ ŋ
塊	f aːj˧
塔	tʰ aː˧ p̚
塘	tʰ ɔː˨˩ ŋ
塞	tsʰ ɔːj˧
塞	s ɐ˥ k̚
填	tʰ iː˨˩ n
塵	tsʰ ɐ˨˩ n
境	k ɪ˨˥ ŋ
墊	t iː˧ n
墊	t iː˨ n
墊	ts iː˧ n
增	ts ɐ˥ ŋ
墨	m ɐ˨ k̚
墮	t ɔː˨
墳	f ɐ˨˩ n
墻	tsʰ œː˨˩ ŋ
壇	tʰ aː˨˩ n
壓	aː˧ t̚
壞	w aːj˨˥
壞	w aːj˨
壤	j œː˨ ŋ
士	s iː˨˥
士	s iː˨
壯	ts ɔː˧ ŋ
壽	s ɐw˨
夀	s ɐw˨
夏	h aː˨
夕	ts ɪ˨ k̚
外	ŋ ɔːj˨
多	t ɔː˥
多	t œː˥
夜	j ɛː˨˥
夜	j ɛː˨
夠	k ɐw˧
夢	m ʊ˨ ŋ
大	t aːj˨˥
大	t aːj˨
天	tʰ iː˥ n
太	tʰ aːj˧
夫	f uː˥
央	j œː˥ ŋ
失	s ɐ˥ t̚
夷	j iː˨˩
夾	k aː˧ p̚
夾	k ɛː˧ p̚
夾	k ɛː˨ p̚
奇	kʰ ɛː˨˩
奇	kʰ ej˨˩
奉	f ʊ˨ ŋ
奎	f uːj˥
奏	ts ɐw˧
契	kʰ ɐi˧
奔	p ɐ˥ n
套	tʰ ow˨˥
套	tʰ ow˧
奧	ow˧
奪	t yː˨ t̚
奮	f ɐ˨˧ n
女	n ɵɥ˨˥
女	n ɵɥ˨˧
奴	n ow˨˩
奶	n aːj˥
奶	n aːj˨˧
奸	k aː˥ n
好	h ow˨˥
好	h ow˧
如	j yː˨˩
妄	m ɔː˨˧ ŋ
妒	t ow˧
妙	m iːw˨
妝	ts ɔː˥ ŋ
妥	tʰ ɔː˨˧
妨	f ɔː˨˩ ŋ
妳	n ej˨˧
妹	m uːj˥
妹	m uːj˨˥
妹	m uːj˨˩
妹	m uːj˨
姊	ts iː˨˥
始	tsʰ iː˨˥
姐	ts ɛː˥
姐	ts ɛː˨˥
姐	ts ɛː˨˩
姑	k uː˥
姓	s ɪ˧ ŋ
委	w ɐi˨˥
姣	h aːw˨˩
姦	k aː˥ n
姨	j iː˥
姨	j iː˨˩
姻	j ɐ˥ n
威	w ɐi˥
娛	j yː˨˩
娥	ŋ ɔː˨˩
婆	pʰ ɔː˨˥
婆	pʰ ɔː˨˩
婊	p iːw˨˥
婚	f ɐ˥ n
婦	f uː˨˧
媒	m uːj˨˩
媳	s ɪ˥ k̚
媽	m aː˥
媽	m aː˨˩
嫁	k aː˧
嫌	j iː˨˩ m
嫩	n yː˨ n
嫲	m aː˨˩
嬌	k iːw˥
嬰	j ɪ˥ ŋ
嬲	l ɐw˥
嬲	n ɐw˥
嬲	n iːw˨˩
嬲	n iːw˨˧
嬸	s ɐ˨˥ m
子	ts iː˨˥
孔	h ʊ˨˥ ŋ
孖	m aː˥
字	ts iː˨
存	tsʰ yː˨˩ n
季	kʷ ɐi˧
孤	k uː˥
孩	h aːj˨˩
孭	m ɛː˥
學	h ɔː˨ k̚
孻	l aːj˥
它	tʰ aː˥
宅	ts aː˨˥ k̚
宅	ts aː˨ k̚
宇	j yː˨˧
守	s ɐw˨˥
安	ɔː˥ n
宋	s ʊ˧ ŋ
完	j yː˨˩ n
宏	w ɐ˨˩ ŋ
宗	ts ʊ˥ ŋ
官	k uː˥ n
宙	ts ɐw˨
定	t ɛː˨ ŋ
定	t ɪ˨ ŋ
宜	j iː˨˩
客	h aː˧ k̚
宣	s yː˥ n
室	s ɐ˥ t̚
宮	k ʊ˥ ŋ
害	h ɔːj˨
宵	s iːw˥
家	k aː˥
容	j ʊ˨˩ ŋ
宿	s ʊ˥ k̚
寄	k ej˧
密	m ɐ˨ t̚
寇	kʰ ɐw˧
富	f uː˧
寒	h ɔː˨˩ n
寓	j yː˨
察	tsʰ aː˧ t̚
寢	tsʰ ɐ˨˥ m
