{LG}	spn
粹	s ɵɥ˨
精	ts ɛː˥ ŋ
精	ts ɪ˥ ŋ
糊	w uː˨˩
糕	k ow˥
糖	tʰ ɔː˨˥ ŋ
糖	tʰ ɔː˨˩ ŋ
糟	ts ow˥
糧	l œː˨˩ ŋ
系	h ɐi˨
糾	k ɐw˨˥
紀	k ej˨˥
約	j œː˧ k̚
紅	h ʊ˨˩ ŋ
納	n aː˨ p̚
紐	n ɐw˨˥
純	s ɵ˨˩ n
紗	s aː˥
紙	ts iː˨˥
級	kʰ ɐ˥ p̚
紛	f ɐ˥ n
素	s ow˧
紡	f ɔː˨˥ ŋ
索	s ɔː˧ k̚
累	l ɵɥ˨
細	s ɐi˧
紹	s iːw˨
終	ts ʊ˥ ŋ
組	ts ow˨˥
結	k iː˧ t̚
絕	ts yː˨ t̚
絡	l ɔː˧ k̚
絡	l ɔː˨ k̚
絮	s ɵɥ˨˧
統	tʰ ʊ˨˥ ŋ
絲	s iː˥
綁	p ɔː˨˥ ŋ
經	k ɪ˥ ŋ
綜	ts ʊ˥ ŋ
綜	ts ʊ˧ ŋ
綠	l ʊ˨ k̚
維	w ɐi˨˩
綯	tʰ ow˨˩
網	m ɔː˨˧ ŋ
緊	k ɐ˨˥ n
緒	s ɵɥ˨˧
線	s iː˧ n
緝	tsʰ ɐ˥ p̚
編	pʰ iː˥ n
練	l iː˨ n
緻	ts iː˧
縣	j yː˨ n
縫	f ʊ˨˩ ŋ
縮	s ʊ˥ k̚
縱	ts ʊ˥ ŋ
縱	ts ʊ˧ ŋ
總	ts ʊ˨˥ ŋ
績	ts ɪ˥ k̚
繁	f aː˨˩ n
織	ts ɪ˥ k̚
繙	f aː˥ n
繙	f aː˨˩ n
繚	l iːw˨˩
繡	s ɐw˧
繫	h ɐi˨
繳	k iːw˨˥
繼	k ɐi˧
續	ts ʊ˨ k̚
纏	tsʰ iː˨˩ n
缺	kʰ yː˧ t̚
罐	k uː˧ n
罩	ts aːw˧
罪	ts ɵɥ˨
置	ts iː˧
罰	f ɐ˨ t̚
署	tsʰ yː˨˧
罵	m aː˨
羅	l ɔː˨˩
羈	k ej˥
羊	j œː˨˩ ŋ
美	m ej˨˧
羣	kʷʰ ɐ˨˩ n
群	kʷʰ ɐ˨˩ n
羨	s iː˨ n
義	j iː˨
羽	j yː˨˧
翁	j ʊ˥ ŋ
習	ts aː˨ p̚
翠	tsʰ ɵɥ˧
翡	f ej˨˥
翹	kʰ iːw˨˩
翻	f aː˥ n
翼	j ɪ˨ k̚
老	l ow˨˧
考	h aːw˨˥
者	ts ɛː˨˥
而	j iː˨˩
耍	s aː˨˥
耐	n ɔːj˨˥
耐	n ɔːj˨
耳	j iː˨˧
耶	j ɛː˨˩
聊	l iːw˨˩
聖	s ɪ˧ ŋ
聚	ts ɵɥ˨
聞	m ɐ˨˥ n
聞	m ɐ˨˩ n
聯	l yː˨˥ n
聯	l yː˨˩ n
聰	tsʰ ʊ˥ ŋ
聲	s ɛː˥ ŋ
聲	s ɪ˥ ŋ
聴	tʰ ɪ˥ ŋ
職	ts ɪ˥ k̚
聼	tʰ ɛː˥ ŋ
聼	tʰ ɪ˥ ŋ
聼	tʰ ɪ˧ ŋ
聽	tʰ ɛː˥ ŋ
聽	tʰ ɪ˥ ŋ
聽	tʰ ɪ˧ ŋ
聾	l ʊ˨˩ ŋ
肆	s ej˧
肆	s iː˧
肇	s iːw˨
肉	j ʊ˨ k̚
肌	k ej˥
肖	tsʰ iːw˧
肚	tʰ ow˨˧
肝	k ɔː˥ n
股	k uː˨˥
肥	f ej˨˩
肯	h ɐ˨˥ ŋ
育	j ʊ˨ k̚
肺	f ɐi˧
胃	w ɐi˨
背	p uːj˧
背	p uːj˨
胎	tʰ ɔːj˥
胖	p uː˨ n
胞	p aːw˥
胡	w uː˨˩
胸	h ʊ˥ ŋ
能	n ɐ˨˩ ŋ
脂	ts iː˥
脅	h iː˧ p̚
脆	tsʰ ɵɥ˧
脈	m ɐ˨ k̚
脊	ts ɛː˧ k̚
脫	tʰ yː˧ t̚
脷	l ej˨
脹	ts œː˧ ŋ
脾	pʰ ej˨˩
腍	j ɐ˨ m
腍	n ɐ˨˩ m
腍	n ɐ˨˧ m
腎	s ɐ˨ n
腐	f uː˨
腔	h ɔː˥ ŋ
腦	n ow˨˧
腩	n aː˨˧ m
腰	j iːw˥
腳	k œː˧ k̚
腸	tsʰ œː˨˥ ŋ
腸	tsʰ œː˨˩ ŋ
腹	f ʊ˥ k̚
腿	tʰ ɵɥ˨˥
膚	f uː˥
膜	m ɔː˨˥ k̚
膜	m ɔː˨ k̚
膝	s ɐ˥ t̚
膠	k aːw˥
膨	pʰ aː˨˩ ŋ
膩	n ej˨
膶	j ɵ˨˥ n
膽	t aː˨˥ m
臂	p ej˧
臣	s ɐ˨˥ n
臣	s ɐ˨˩ n
臨	l ɐ˨˩ m
自	ts iː˨
臭	tsʰ ɐw˧
至	ts iː˧
致	ts iː˧
與	j yː˨˧
與	j yː˨
興	h ɪ˥ ŋ
興	h ɪ˧ ŋ
舉	k ɵɥ˨˥
舊	k ɐw˨
舌	s iː˧ t̚
舍	s ɛː˧
舍	s ɛː˨˧
舐	l aːj˨˥
舐	s aːj˨˥
舐	s aːj˨˧
舒	s yː˥
舞	m ow˨˧
航	h ɔː˨˩ ŋ
般	p uː˥ n
船	s yː˨˩ n
艇	tʰ ɛː˨˧ ŋ
艙	tsʰ ɔː˥ ŋ
艦	l aː˨ m
良	l œː˨˩ ŋ
艱	k aː˥ n
色	s ɪ˥ k̚
艷	j iː˨ m
芋	w uː˨
芒	m ɔː˥ ŋ
芒	m ɔː˨˩ ŋ
芝	ts iː˥
芥	k aːj˧
芫	j iː˨˩ m
芫	j yː˨˩ n
芬	f ɐ˥ n
花	f aː˥
芹	kʰ ɐ˨˥ n
芹	kʰ ɐ˨˩ n
若	j œː˨ k̚
苦	f uː˨˥
英	j ɪ˥ ŋ
茂	m ɐw˨
范	f aː˨ n
茄	kʰ ɛː˨˥
茜	s ɐi˥
茜	s iː˨ n
茶	tsʰ aː˨˩
草	tsʰ ow˨˥
荊	k ɪ˥ ŋ
荒	f ɔː˥ ŋ
荔	l ɐi˨
荷	h ɔː˨˩
荷	h ɔː˨
莊	ts ɔː˥ ŋ
莓	m uːj˨˥
莓	m uːj˨˩
莞	k uː˨˥ n
莫	m ɔː˨˥ k̚
莫	m ɔː˨ k̚
菌	kʷʰ ɐ˨˥ n
菜	tsʰ ɔːj˧
菠	p ɔː˥
華	w aː˨˩
菲	f ej˥
萬	m aː˨ n
落	l ɔː˥ k̚
落	l ɔː˨ k̚
葉	j iː˨ p̚
著	ts œː˧ k̚
著	ts œː˨ k̚
著	ts yː˧
葡	pʰ ow˨˩
董	t ʊ˨˥ ŋ
葬	ts ɔː˧ ŋ
蒙	m ʊ˨˩ ŋ
蒞	l ej˨˩
蒞	l ej˨
蒲	pʰ ow˨˩
蒸	ts ɪ˥ ŋ
蓆	ts ɛː˨ k̚
蓆	ts ɪ˨ k̚
蓋	k ɔːj˧
蓋	kʰ ɔːj˧
蓬	f ʊ˨˩ ŋ
蓬	pʰ ʊ˨˩ ŋ
蔥	tsʰ ʊ˥ ŋ
蔬	s ɔː˥
蔵	tsʰ ɔː˨˩ ŋ
蔻	kʰ ɐw˧
蕃	f aː˥ n
蕩	t ɔː˨ ŋ
蕾	l ɵɥ˨˩
薄	p ɔː˨ k̚
薑	k œː˥ ŋ
薦	ts iː˧ n
薩	s aː˧ t̚
薪	s ɐ˥ n
薯	s yː˨˩
藉	ts ɛː˧
藉	ts ɪ˨ k̚
藍	l aː˨˩ m
藏	tsʰ ɔː˨˩ ŋ
藏	ts ɔː˨ ŋ
藝	ŋ ɐi˨
藥	j œː˨ k̚
藩	f aː˨˩ n
藺	l ɵ˨ n
蘋	pʰ ɪ˨˩ ŋ
蘭	l aː˥ n
蘭	l aː˨˩ n
蘿	l ɔː˨˩
虎	f uː˨˥
處	tsʰ yː˨˥
處	tsʰ yː˧
處	tsʰ yː˨˧
處	s yː˧
虛	h ɵɥ˥
號	h ow˨˩
號	h ow˨
虧	kʷʰ ɐi˥
虹	h ʊ˨˩ ŋ
蚊	m ɐ˥ n
蛇	s ɛː˨˥
蛇	s ɛː˨˩
蛋	t aː˨˥ n
蛋	t aː˨ n
蛤	k aː˧ p̚
蛤	k ɐ˧ p̚
蛤	h aː˥
蜂	f ʊ˥ ŋ
蜜	m ɐ˨ t̚
蜥	s ɪ˥ k̚
蜴	j ɪ˨ k̚
蝕	s ɪ˨ k̚
蝕	s iː˨ t̚
蝦	h aː˥
融	j ʊ˨˩ ŋ
蟆	m aː˨˩
蟆	m ow˥
蟬	s iː˨˩ m
蟲	tsʰ ʊ˨˩ ŋ
蟹	h aːj˨˧
蟻	ŋ ɐi˨˧
蠟	l aː˨ p̚
蠢	tsʰ ɵ˨˥ n
蠱	k uː˨˥
蠶	tsʰ aː˨˩ m
蠻	m aː˨˩ n
血	h yː˧ t̚
衆	ts ʊ˧ ŋ
行	h aː˨˩ ŋ
行	h ɐ˨˩ ŋ
行	h ɐ˨ ŋ
行	h ɔː˨˥ ŋ
行	h ɔː˨˩ ŋ
術	s ɵ˨ t̚
街	k aːj˥
衛	w ɐi˨
衝	tsʰ ʊ˥ ŋ
衡	h ɐ˨˩ ŋ
衣	j iː˥
表	p iːw˨˥
衫	s aː˥ m
衰	s ɵɥ˥
衹	kʰ ej˨˩
衹	ts iː˨˥
袁	j yː˨˩ n
袋	t ɔːj˨
被	p ej˨
被	pʰ ej˨˧
裁	tsʰ ɔːj˨˩
裂	l iː˨ t̚
裏	l ɵɥ˨˧
裔	j ɵɥ˨
裙	kʷʰ ɐ˨˩ n
補	p ow˨˥
裝	ts ɔː˥ ŋ
裡	l ɵɥ˨˧
裳	s œː˨˩ ŋ
裸	l ɔː˨˥
製	ts ɐi˧
複	f ʊ˥ k̚
褦	l ɛː˨˧
褦	n aːj˨
褦	n ɐ˧ ŋ
褦	n ɔːj˨
褲	f uː˧
襪	m ɐ˨ t̚
襯	tsʰ ɐ˧ n
襲	ts aː˨ p̚
西	s ɐi˥
要	j iːw˥
要	j iːw˧
覆	f ʊ˥ k̚
見	k iː˧ n
規	kʷʰ ɐi˥
視	s iː˨
親	tsʰ ɐ˥ n
覺	k aːw˧
覺	k ɔː˧ k̚
覽	l aː˨˧ m
觀	k uː˥ n
角	k ɔː˨˥ k̚
角	k ɔː˧ k̚
解	k aːj˨˥
觸	ts ʊ˥ k̚
言	j iː˨˩ n
訂	t ɛː˨ ŋ
訂	t ɪ˧ ŋ
訂	t ɪ˨ ŋ
計	k ɐi˨˥
計	k ɐi˧
訊	s ɵ˧ n
討	tʰ ow˨˥
訓	f ɐ˧ n
記	k ej˧
訝	ŋ aː˨˧
訝	ŋ aː˨
訟	ts ʊ˨ ŋ
訣	kʰ yː˧ t̚
訪	f ɔː˨˥ ŋ
設	tsʰ iː˧ t̚
許	h ɵɥ˨˥
訴	s ow˧
註	ts yː˧
詏	aːw˨˥
詏	aːw˧
詐	ts aː˧
評	pʰ ɪ˨˩ ŋ
詞	tsʰ iː˨˩
詢	s ɵ˥ n
試	s iː˧
試	s iː˨˧
詩	s iː˥
話	w aː˨˥
話	w aː˨˧
話	w aː˨
該	k ɔːj˥
詳	tsʰ œː˨˩ ŋ
誃	tsʰ iː˨˥
誇	kʷʰ aː˥
誌	ts iː˧
認	j ɪ˨ ŋ
誓	s ɐi˨
誕	t aː˧ n
語	j yː˨˧
誠	s ɪ˨˩ ŋ
誤	ŋ̍˨
誦	ts ʊ˨ ŋ
說	s ɵɥ˧
說	s yː˧ t̚
説	s ɵɥ˧
説	s yː˧ t̚
誰	s ɵɥ˨˥
誰	s ɵɥ˨˩
課	f ɔː˧
調	t iːw˨
調	tʰ iːw˨˩
談	tʰ aː˨˩ m
請	tsʰ ɛː˨˥ ŋ
請	tsʰ ɪ˨˥ ŋ
諒	l œː˨ ŋ
論	l ɵ˨˩ n
論	l ɵ˨ n
諗	n ɐ˨˥ m
諜	t iː˨ p̚
諧	h aːj˨˩
諮	ts iː˥
諷	f ʊ˧ ŋ
諸	ts yː˥
諾	n ɔː˨ k̚
謀	m ɐw˨˩
謂	w ɐi˨
謎	m ɐi˨˩
謙	h iː˥ m
講	k ɔː˨˥ ŋ
謝	ts ɛː˨
謬	m ɐw˨
謹	k ɐ˨˥ n
證	ts ɪ˧ ŋ
識	s ɪ˥ k̚
識	ts iː˧
譜	pʰ ow˨˥
警	k ɪ˨˥ ŋ
譯	j ɪ˨ k̚
議	j iː˨˧
護	w uː˨
譽	j yː˨
讀	t ʊ˨ k̚
變	p iː˧ n
讑	j iːw˨
讚	ts aː˧ n
谷	k ʊ˥ k̚
豆	t ɐw˨˥
豆	t ɐw˨
豈	h ej˨˥
豎	s yː˨
豐	f ʊ˥ ŋ
象	ts œː˨ ŋ
豪	h ow˨˩
豬	ts yː˥
貌	m aːw˨
貓	m aːw˥
貝	p uːj˧
負	f uː˨
財	tsʰ ɔːj˨˩
貢	k ʊ˧ ŋ
貧	pʰ ɐ˨˩ n
貨	f ɔː˧
貪	tʰ aː˥ m
貫	k uː˧ n
責	ts aː˧ k̚
貴	kʷ ɐi˧
貶	p iː˨˥ n
買	m aːj˨˧
貸	tʰ aːj˧
費	f ɐi˧
貼	tʰ iː˧ p̚
貿	m ɐw˨
賀	h ɔː˨
資	ts iː˥
賊	tsʰ aː˨ k̚
賓	p ɐ˥ n
賞	s œː˨˥ ŋ
賠	pʰ uːj˨˩
賢	j iː˨˩ n
賣	m aːj˨˥
賣	m aːj˨
賤	ts iː˨ n
質	ts ɐ˥ t̚
質	ts iː˧
賬	ts œː˧ ŋ
賭	t ow˨˥
賴	l aːj˨
賺	ts aː˨ n
購	k ɐw˧
購	kʰ ɐw˧
賽	tsʰ ɔːj˧
贊	ts aː˧ n
贏	j ɛː˨˩ ŋ
贛	k ɐ˧ m
赤	tsʰ ɛː˧ k̚
走	ts ɐw˨˥
起	h ej˨˥
起	h ej˧
趁	tsʰ ɐ˧ n
超	tsʰ iːw˥
越	j yː˨ t̚
趌	k ɐ˨ t̚
趕	k ɔː˨˥ n
趙	ts iːw˨
趣	tsʰ ɵɥ˧
足	ts ʊ˥ k̚
趷	k ɐ˨ t̚
跌	t iː˧ t̚
跑	pʰ aːw˨˥
跛	p ɐi˥
距	kʰ ɵɥ˨˧
跟	k ɐ˥ n
跡	ts ɪ˥ k̚
跨	kʷʰ aː˥
跪	kʷ ɐi˨
路	l ow˧
路	l ow˨
跳	tʰ iːw˧
踎	m ɐw˥
踏	t aː˨ p̚
踐	tsʰ iː˨˥ n
踐	tsʰ iː˨˧ n
踢	tʰ ɛː˧ k̚
踩	tsʰ aːj˨˥
踴	j ʊ˨˥ ŋ
蹤	ts ʊ˥ ŋ
躉	t ɐ˨˥ n
躋	ts ɐi˥
躍	j œː˨ k̚
躝	l aː˥ n
躝	l aː˨˩ n
身	s ɐ˥ n
車	tsʰ ɛː˥
軌	kʷ ɐi˨˥
軍	kʷ ɐ˥ n
軟	j yː˨˧ n
較	k aːw˧
載	ts ɔːj˨˥
載	ts ɔːj˧
輔	f uː˨
輕	h ɛː˥ ŋ
輕	h ɪ˥ ŋ
輝	f ɐi˥
輩	p uːj˧
輪	l ɵ˨˩ n
輯	tsʰ ɐ˥ p̚
輸	s yː˥
輿	j yː˨˩
轄	h ɐ˨ t̚
轆	l ʊ˥ k̚
轉	ts yː˨˥ n
轉	ts yː˧ n
辛	s ɐ˥ n
辜	k uː˥
辣	l aː˨ t̚
辦	p aː˨ n
辨	p iː˨ n
辭	tsʰ iː˨˩
辯	p iː˨ n
辰	s ɐ˨˩ n
辱	j ʊ˨ k̚
農	n ʊ˨˩ ŋ
迅	s ɵ˧ n
迎	j ɪ˨˩ ŋ
近	k ɐ˨ n
近	kʰ ɐ˨˧ n
返	f aː˥ n
返	f aː˨˥ n
迪	t ɪ˨ k̚
迫	p ɪ˥ k̚
述	s ɵ˨ t̚
迴	w uːj˨˩
迷	m ɐi˨˩
追	ts ɵɥ˥
退	tʰ ɵɥ˧
送	s ʊ˧ ŋ
逃	tʰ ow˨˩
逍	s iːw˥
透	tʰ ɐw˧
逐	ts ʊ˨ k̚
途	tʰ ow˨˩
逗	t ɐw˨
通	tʰ ʊ˥ ŋ
速	tsʰ ʊ˥ k̚
造	tsʰ ow˧
造	tsʰ ow˨˧
造	ts ow˨
逢	f ʊ˨˩ ŋ
連	l iː˨˩ n
週	ts ɐw˥
進	ts ɵ˧ n
逳	j ʊ˥ k̚
逼	p ɪ˥ k̚
逾	j yː˨
遇	j yː˨
遊	j ɐw˨˩
運	w ɐ˨ n
遍	pʰ iː˧ n
過	kʷ ɔː˧
道	t ow˧
道	t ow˨
達	t aː˨ t̚
違	w ɐi˨˩
遙	j iːw˨˩
遞	t ɐi˨
遠	j yː˨˧ n
適	s ɪ˥ k̚
遮	ts ɛː˥
遲	tsʰ iː˨˩
遷	tsʰ iː˥ n
選	s yː˨˥ n
遼	l iːw˨˩
避	p ej˨
邀	j iːw˥
還	w aː˨˩ n
邉	p iː˥ n
邊	p iː˥ n
邊	p iː˨ n
邏	l ɔː˨˩
邑	j ɐ˥ p̚
邢	j ɪ˨˩ ŋ
郎	l ɔː˨˩ ŋ
部	p ow˨
郭	kʷ ɔː˧ k̚
郵	j ɐw˨˩
都	t ow˥
鄉	h œː˥ ŋ
鄧	t ɐ˨ ŋ
鄭	ts ɛː˨ ŋ
鄰	l ɵ˨˩ n
鄱	pʰ ɔː˨˩
配	pʰ uːj˧
酒	ts ɐw˨˥
酬	tsʰ ɐw˨˩
酷	h ʊ˨ k̚
酸	s yː˥ n
醉	ts ɵɥ˧
醋	tsʰ ow˧
醒	s ɛː˨˥ ŋ
醒	s ɪ˨˥ ŋ
醙	s ɐw˥
醙	s ɐw˨˥
醜	tsʰ ɐw˨˥
醫	j iː˥
醬	ts œː˧ ŋ
釁	j ɐ˨ n
釋	s ɪ˥ k̚
里	l ej˨˧
重	tsʰ ʊ˨˩ ŋ
重	tsʰ ʊ˨˧ ŋ
重	ts ʊ˨ ŋ
野	j ɛː˨˧
量	l œː˨˩ ŋ
量	l œː˨ ŋ
金	k ɐ˥ m
釘	t ɛː˥ ŋ
釘	t ɪ˥ ŋ
釜	f uː˨˥
針	ts ɐ˥ m
鈍	t ɵ˨ n
鈔	tsʰ aːw˥
鈴	l ɪ˨˩ ŋ
鉸	k aːw˨˥
鉸	k aːw˧
銀	ŋ ɐ˨˥ n
銀	ŋ ɐ˨˩ n
銘	m ɪ˨˧ ŋ
銬	kʰ aːw˧
鋒	f ʊ˥ ŋ
鋪	pʰ ow˥
錄	l ʊ˨ k̚
錢	tsʰ iː˨˥ n
錢	tsʰ iː˨˩ n
錦	k ɐ˨˥ m
錫	s ɛː˧ k̚
錫	s ɛː˨ k̚
錯	tsʰ ɔː˧
錶	p iːw˥
鍊	l iː˨˥ n
鍊	l iː˨ n
鍵	k iː˨ n
鍾	ts ʊ˥ ŋ
鎅	k aːj˧
鎖	s ɔː˨˥
鎮	ts ɐ˧ n
鏈	l iː˨˥ n
鏈	l iː˨ n
鏟	tsʰ aː˨˥ n
鏡	k ɛː˨˥ ŋ
鏡	k ɛː˧ ŋ
鐘	ts ʊ˥ ŋ
鐵	tʰ iː˧ t̚
鑊	w ɔː˨ k̚
鑽	ts yː˧ n
長	tsʰ œː˨˩ ŋ
長	ts œː˨˥ ŋ
門	m uː˨˥ n
門	m uː˨˩ n
閂	s aː˥ n
閃	s iː˨˥ m
閉	p ɐi˧
開	h ɔːj˥
閒	h aː˨˩ n
間	k aː˥ n
間	k aː˧ n
閘	ts aː˨ p̚
閣	k ɔː˧ k̚
閩	m ɐ˨˧ n
閪	h ɐi˥
閱	j yː˨ t̚
闆	p aː˨˥ n
闊	f uː˧ t̚
闔	h ɐ˨ p̚
關	kʷ aː˥ n
阪	p aː˨˥ n
阱	ts ɛː˨˥ ŋ
阱	ts ɛː˨ ŋ
阱	ts ɪ˨ ŋ
防	f ɔː˨˩ ŋ
阻	ts ɔː˨˥
阿	aː˧
阿	ɔː˥
陀	tʰ ɔː˨˩
附	f uː˨
陌	m ɐ˨ k̚
降	k ɔː˧ ŋ
降	h ɔː˨˩ ŋ
限	h aː˨ n
院	j yː˨˥ n
陣	ts ɐ˨˥ n
陣	ts ɐ˨ n
除	tsʰ ɵɥ˨˩
陪	pʰ uːj˨˩
陰	j ɐ˥ m
陳	tsʰ ɐ˨˩ n
陶	tʰ ow˨˩
陷	h ɐ˨ m
陸	l ʊ˨ k̚
陽	j œː˨˩ ŋ
隆	l ʊ˨˩ ŋ
隊	t ɵɥ˨˥
隊	t ɵɥ˨
階	k aːj˥
隔	k aː˧ k̚
隕	w ɐ˨˧ n
際	ts ɐi˧
隧	s ɵɥ˨
隨	tsʰ ɵɥ˨˩
險	h iː˨˥ m
隱	j ɐ˨˥ n
隻	ts ɛː˧ k̚
雁	ŋ aː˨ n
雄	h ʊ˨˩ ŋ
雅	ŋ aː˥
雅	ŋ aː˨˧
集	ts aː˨ p̚
雕	t iːw˥
雖	s ɵɥ˥
雙	s œː˥ ŋ
雛	tsʰ ɔː˥
雛	tsʰ ɔː˨˩
雜	ts aː˨ p̚
雞	k ɐi˥
離	l ɛː˨˩
離	l ej˨˩
難	n aː˨˩ n
難	n aː˨ n
雨	j yː˨˧
雪	s yː˧ t̚
雲	w ɐ˨˩ n
零	l ɪ˨˩ ŋ
雷	l ɵɥ˨˩
電	t iː˨ n
需	s ɵɥ˥
震	ts ɐ˧ n
霉	m uːj˨˩
露	l ow˨
霸	p aː˧
靈	l ɛː˨˩ ŋ
靈	l ɪ˨˩ ŋ
青	tsʰ ɛː˥ ŋ
青	tsʰ ɪ˥ ŋ
靚	l ɛː˧ ŋ
靜	ts ɪ˨˥ ŋ
靜	ts ɪ˨ ŋ
非	f ej˥
靠	kʰ aːw˧
面	m iː˨˥ n
面	m iː˨ n
革	k aː˧ k̚
靶	p aː˨˥
鞋	h aːj˨˩
韓	h ɔː˨˩ n
韞	w ɐ˧ n
韮	k ɐw˨˥
音	j ɐ˥ m
韻	w ɐ˨˧ n
韻	w ɐ˨ n
響	h œː˨˥ ŋ
頁	j iː˨ p̚
頂	t ɛː˨˥ ŋ
頂	t ɪ˨˥ ŋ
項	h ɔː˨ ŋ
順	s ɵ˨ n
須	s ɵɥ˥
預	j yː˨
頓	t ɵ˨ n
頗	pʰ ɔː˨˥
領	l ɛː˨˥ ŋ
領	l ɛː˨˧ ŋ
領	l ɪ˨˧ ŋ
頡	kʰ iː˧ t̚
頭	tʰ ɐw˨˥
頭	tʰ ɐw˨˩
頸	k ɛː˨˥ ŋ
頹	tʰ ɵɥ˨˩
頻	pʰ ɐ˨˩ n
顆	f ɔː˨˥
題	tʰ ɐi˨˩
額	ŋ aː˨˥ k̚
額	ŋ aː˨ k̚
顎	ŋ ɔː˨ k̚
顏	ŋ aː˨˩ n
願	j yː˨ n
類	l ɵɥ˨
顧	k uː˧
顯	h iː˨˥ n
風	f ʊ˥ ŋ
颱	tʰ ɔːj˨˩
飆	p iːw˥
飛	f ej˥
食	s ɪ˨ k̚
飯	f aː˨ n
飲	j ɐ˨˥ m
飽	p aːw˨˥
飾	s ɪ˥ k̚
餃	k aːw˨˥
餅	p ɛː˨˥ ŋ
養	j œː˨˧ ŋ
餐	tsʰ aː˥ n
餓	ŋ ɔː˨
餘	j yː˨˩
館	k uː˨˥ n
餵	w ɐi˧
餸	s ʊ˧ ŋ
饋	kʷ ɐi˨
饑	k ej˥
首	s ɐw˨˥
香	h œː˥ ŋ
馨	h ɪ˥ ŋ
馬	m aː˨˧
馳	tsʰ iː˨˩
駁	p ɔː˧ k̚
駕	k aː˧
駛	s ɐi˨˥
駝	tʰ ɔː˨˩
騎	kʰ ɛː˨˩
騙	pʰ iː˧ n
騮	l ɐw˥
騮	l ɐw˨˩
騰	tʰ ɐ˨˩ ŋ
騷	s ow˥
驅	kʰ ɵɥ˥
驕	k iːw˥
驗	j iː˨ m
驚	k ɛː˥ ŋ
驚	k ɪ˥ ŋ
驟	ts aːw˨
驟	ts ɐw˨
骨	kʷ ɐ˥ t̚
骰	s ɪ˥ k̚
髀	p ej˨˥
體	tʰ ɐi˨˥
高	k ow˥
髮	f aː˧ t̚
鬆	s ʊ˥ ŋ
鬥	t ɐw˧
鬧	n aːw˨
鬱	w ɐ˥ t̚
鬼	kʷ ɐi˨˥
魂	w ɐ˨˩ n
魅	m ej˨
魔	m ɔː˥
魚	j yː˨˥
魚	j yː˨˩
魯	l ow˨˧
鮮	s iː˥ n
鯇	w aː˨˧ n
鳥	n iːw˨˧
鳩	k ɐw˥
鳳	f ʊ˨ ŋ
鳴	m ɪ˨˩ ŋ
鴨	aː˨˥ p̚
鴨	aː˧ p̚
鵝	ŋ ɔː˨˥
鵝	ŋ ɔː˨˩
鵡	m ow˨˧
鶴	h ɔː˨ k̚
鷄	k ɐi˥
鸚	j ɪ˥ ŋ
鹹	h aː˨˩ m
鹽	j iː˨˩ m
麗	l ɐi˨
麥	m ɐ˨ k̚
麪	m iː˨ n
麵	m iː˨ n
麻	m aː˨˥
麻	m aː˨˩
黃	w ɔː˨˩ ŋ
黎	l ɐi˨˩
黐	tsʰ iː˥
黑	h ɐ˥ k̚
默	m ɐ˨ k̚
點	t iː˨˥ m
黨	t ɔː˨˥ ŋ
鼎	t ɪ˨˥ ŋ
鼓	k uː˨˥
鼠	s yː˨˥
鼻	p ej˨
齊	tsʰ ɐi˨˩
齋	ts aːj˥
齒	tsʰ iː˨˥
齕	k ɐ˨ t̚
齕	h ɐ˨ t̚
齕	ŋ aː˨ t̚
齡	l ɪ˨˩ ŋ
齣	tsʰ ɵ˥ t̚
齮	k iː˥
齮	j iː˨˥
齮	ŋ ɐi˨˧
龍	l ʊ˨˩ ŋ
龐	pʰ ɔː˨˩ ŋ
龜	kʷ ɐi˥
咯	l ɔː˧
咯	l ɔː˧ k̚
